A high-energy compound produced by mitochondria that powers cellular processes.	Adenosine triphosphate (ATP)
A nonidentical DNA sequence found in the same gene location on a homologous chromosome, or gene copy, that codes for the same trait but produces a different phenotype.	Allele
Organic molecules that are the building blocks of protein. Each of the 20 different amino acids have their own unique chemical property. Amino acids are chained together to form proteins.	Amino acids
DNA that is extracted from organic remains and that often dates from hundreds to thousands of years ago. Also, aDNA is typically degraded (i.e., damaged) due to exposure to the elements such as heat, acidity, and humidity.	Ancient DNA (aDNA)
A cell with an unexpected amount of chromosomes. The loss or gain of chromosomes can occur during mitotic or meiotic division.	Aneuploid
Immune-related proteins that can detect and bind to foreign substances in the blood such as pathogens.	Antibodies
A series of molecular steps that is activated leading to cell death. Apoptosis can be activated when a cell fails checkpoints during the cell cycle; however, cancer cells have the ability to avoid apoptosis.	Apoptosis
Refers to a pattern of inheritance in which an allele is located on an autosome (non sex chromosome).	Autosomal
Chemical bonding between nucleotides. In DNA, adenine (A) pairs with thymine (T) and cytosine (C) pairs with guanine (G); in RNA, adenine (A) always pairs with uracil (U).	Base pairs
Molecules composed of carbon and hydrogen atoms that can be broken down to supply energy.	Carbohydrate
An individual who has a heterozygous genotype that is typically associated with a disease.	Carrier
A cycle the cell undergoes with checkpoints between phases to ensure that DNA replication and cell division occur properly.	Cell cycle
A protein that is found on a red blood cell’s surface.	Cell surface antigen
A structural feature that is defined as the “center” of a chromosome and that creates two different arm lengths. This term also refers to the region of attachment for microtubules during mitosis and meiosis.	Centromere
DNA wrapped around histone complexes. During cell division, chromatin becomes a condensed chromosome.	Chromatin
DNA molecule that is wrapped around protein complexes, including histones.	Chromosome
The effects of both alleles in a genotype can be seen in the phenotype.	Codominance
A sequence that comprises three DNA nucleotides that together code for a protein.	Codons
A category of diseases that are polygenic and are also influenced by environment and lifestyle factors.	Complex diseases
The “jelly-like” matrix inside of the cell that contains many organelles and other cellular molecules.	Cytoplasm
A mutation that increases an organism’s susceptibility to disease.	Deleterious
A molecule that carries the hereditary information passed down from parents to offspring. DNA can be described as a “double helix”’ shape. It includes two chains of nucleotides held together by hydrogen bonds with a sugar phosphate backbone.	Deoxyribonucleic acid (DNA)
Refers to an organism or cell with two sets of chromosomes.	Diploid
Methyl groups bind DNA, which modifies the transcriptional activity of a gene by turning it “on” or “off.”	DNA methylation
Enzyme that adds nucleotides to existing nucleic acid strands during DNA replication. These enzymes can be distinguished by their processivity (e.g., DNA replication).	DNA polymerase
Cellular process in which DNA is copied and doubled.	DNA replication
The order of nucleotide bases. A DNA sequence can be short, long, or representative of entire chromosomes or organismal genomes.	DNA sequence
Refers to an allele for which one copy is sufficient to be visible in the phenotype.	Dominant
The assembly of new DNA from template strands with the help of DNA polymerases.	Elongation
Proteins responsible for catalyzing (accelerating) various biochemical reactions in cells.	Enzymes
The methylation pattern throughout a genome—that is, which genes (and other genomic sites) are methylated and unmethylated.	Epigenetic profile
Changes in gene expression that do not result in a change of the underlying DNA sequence. These changes typically involve DNA methylation and histone modifications. These changes are reversible and can also be inherited by the next generation.	Epigenetics
Loosely coiled chromosomes found within the nucleus that are accessible for regulatory processing of DNA.	Euchromatin
Single-celled or multicelled organism characterized by a distinct nucleus, with each organelle surrounded by its own membrane.	Eukaryote
Protein-coding segment of a gene.	Exon
Haploid cells referred to as an egg and sperm that will fuse together during sexual reproduction to form a diploid organism.	Gametes
Segment of DNA that contains protein-coding information and various regulatory (e.g., promoter) and noncoding (e.g., introns) regions.	Gene
A cellular process that occurs during meiosis I in which homologous chromosomes pair up and sister chromatids on different chromosomes physically swap genetic information.	Genetic recombination
All the genetic information of an organism.	Genome
The combination of two alleles that code for or are associated with the same gene.	Genotype
A molecular procedure that is performed to test for the presence of certain alleles or to discover new ones.	Genotyping
Specialized cells that form gametes (egg and sperm cells).	Germ cells
Cell or organism with one set of chromosomes (n = 23).	Haploid
A protein that breaks the hydrogen bonds that hold double-stranded DNA together.	Helicase
Genotype that consists of two different alleles.	Heterozygous
Proteins that DNA wraps around to assist with DNA organization within the nucleus.	Histones
A matching pair of chromosomes wherein one chromosome is maternally inherited and the other is paternally inherited.	Homologous chromosomes
Genotype that consists of two identical alleles.	Homozygous
Heterozygous genotype that produces a phenotype that is a blend of both alleles.	Incomplete dominance
The recruitment of proteins to separate DNA strands and begin DNA replication.	Initiation
Preparatory period of the cell cycle when increased metabolic demand allows for DNA replication and doubling of the cell prior to cell division.	Interphase
Segment of DNA that does not code for proteins.	Introns
The microscopic procedure wherein the number of chromosomes in a cell is determined.	Karyotyping
DNA template strand that is opposite to the leading strand during DNA replication. This strand is created in several disconnected sections and other enzymes fill in the missing nucleotide gaps between these sections.	Lagging strand
DNA template strand in which replication proceeds continuously.	Leading strand
Fatty acid molecules that serve various purposes in the cell, including energy storage, cell signaling, and structure.	Lipids
The process that gametes undergo to divide. The end of meiosis results in four haploid daughter cells.	Meiosis
A classification given to phenotypic traits that are controlled by a single gene.	Mendelian genetics
RNA molecule that is transcribed from DNA. Its tri-nucleotide codons are “read” by a ribosome to build a protein.	Messenger RNA (mRNA)
A genotyping procedure that utilizes a microarray chip, which is a collection of thousands of short nucleotide sequences attached to a solid surface that can probe genomic DNA.	Microarray technology
The collective genomes of the community of microorganisms that humans have living inside of their bodies.	Microbiome
Circular DNA segment found in mitochondria that is inherited maternally.	Mitochondrial DNA (mtDNA)
Specialized cellular organelle that is the site for energy production. It also has its own genome (mtDNA).	Mitochondrion
The process that somatic cells undergo to divide. The end of mitosis results in two diploid daughter cells.	Mitosis
Individuals who use molecular techniques (primarily genetics) to compare ancient and modern populations and to study living populations of humans and nonhuman primates.	Molecular anthropologists
Biologists that study the structure and function of genes.	Molecular geneticists
A nucleotide sequence variation from the template DNA strand that can occur during replication. Mutations can also happen during recombination.	Mutation
A genotyping technology that involves producing millions of nucleotide sequences (from a single DNA sample) that are then read with a sequencing machine. It can be used for analyzing entire genomes or specific regions and requires extensive program-based applications.	Next-generation sequencing
A double-layered membrane that encircles the nucleus.	Nuclear envelope
A complex structure (like DNA or RNA) that carries genetic information about a living organism.	Nucleic acid
The basic structural component of nucleic acids, which includes DNA (A, T, C, and G) and RNA (A, U, C, and G).	Nucleotide
Double-membrane cellular organelle that helps protect DNA and also regulates nuclear activities.	Nucleus
A structure within a cell that performs specialized tasks that are essential for the cell. There are different types of organelles, each with its own function.	Organelle
A genetic mutation (i.e., allele) that has a harmful phenotypic disease-causing effect.	Pathogenic
A diagram of family relationships that indicates which members may have or carry certain genetic and/or phenotypic traits.	Pedigree
The proportion of how often the possession of an allele results in an expected phenotype. Some alleles are more penetrant than others.	Penetrance
The physical appearance of a given trait.	Phenotype
Two layers of lipids that form a barrier due to the properties of a hydrophilic (water-loving) head and a hydrophobic (water-repelling) tail.	Phospholipid bilayer
A phenotype that is controlled by two or more genes.	Polygenic trait
A molecular biology procedure that can make copies of genomic DNA segments. A small amount of DNA is used as a starting template and is then used to make millions of copies.	Polymerase chain reaction (PCR)
A single-celled organism characterized by the lack of a nucleus and membrane-enclosed organelles.	Prokaryote
The region of a gene that initiates transcription. Transcription factors can bind and DNA methylation may occur at a promoter site, which can modify the transcriptional activities of a gene.	Promoter
Chain of amino acids that folds into a three-dimensional structure that allows a cell to function in a variety of ways.	Protein
A multi-step process by which amino acids are strung together by RNA machinery read from a DNA template.	Protein synthesis
Refers to an allele whose effect is not normally seen unless two copies are present in an individual’s genotype.	Recessive
Single-stranded nucleic acid molecule.There are different RNAs found within cells and they perform a variety of functions, such as cell signaling and involvement in protein synthesis.	Ribonucleic acid (RNA)
A ribosome-bound molecule that is used to correctly assemble amino acids into proteins.	Ribosomal RNA (rRNA)
An organelle in the cell found in the cytoplasm or endoplasmic reticulum. It is responsible for reading mRNA and protein assemblage.	Ribosome
An enzyme that catalyzes the process of making RNA from a DNA template.	RNA polymerase
A process that involves the usage of fluorescently labeled nucleotides to visualize DNA (PCR fragments) at the nucleotide level.	Sanger-sequencing
DNA replication in which new DNA is replicated from an existing DNA template strand.	Semi-conservative replication
A molecular laboratory procedure that produces the order of nucleotide bases (i.e., sequences).	Sequencing
During DNA replication, sister chromatids are produced on the chromosome. In cell division, sister chromatids are pulled apart so that two cells can be formed. In meiosis, sister chromatids are also the sites of genetic recombination.	Sister chromatids
Diploid cells that comprise body tissues and undergo mitosis for maintenance and repair of tissues.	Somatic cells
The process by which mature mRNAs are produced. Introns are removed (spliced) and exons are joined together.	Splicing
A biochemical structural component of DNA. The “backbone” consists of deoxyribose sugars and phosphate molecules.	Sugar phosphate backbone
A compound structure located at the ends of chromosomes to help protect the chromosomes from degradation after every round of cell division.	Telomere
The halt of DNA replication activity that occurs when a DNA sequence “stop” codon is encountered.	Termination
A cluster of cells that are morphologically similar and perform the same task.	Tissue
The process by which DNA nucleotides (within a gene) are copied, which results in a messenger RNA molecule.	Transcription
Proteins that bind to regulatory regions of genes (e.g., promoter) and increase or decrease the amount of transcriptional activity of a gene, including turning them “on” or “off.”	Transcription factors
RNA molecule involved in translation. Transfer RNA transports amino acids from the cell’s cytoplasm to a ribosome.	Transfer RNA (tRNA)
The process by which messenger RNA codons are read and amino acids are “chained together” to form proteins.	Translation
Refers to a pattern of inheritance where the allele is located on the X or Y chromosome.	X-linked